2012 Domain Star View: Medicare Part C Report Card Master Table,,,,,,,,
Contract Number,Organization Type,Parent Organization,Organization Marketing Name,"Staying Healthy: Screenings, Tests and Vaccines",Managing Chronic (Long Term) Conditions,Ratings of Plan Responsiveness and Care,"Health Plan Members’ Complaints, Appeals, and Choosing to Leave the Health Plan",Health Plan Customer Service
H6050,1876 Cost,"Kaiser Foundation Health Plan, Inc.",Kaiser Permanente Medicare Cost,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,4 out of 5 stars,4 out of 5 stars,Not enough data to calculate stars for this category
H6052,1876 Cost,"Kaiser Foundation Health Plan, Inc.",Kaiser Permanente Medicare Cost,4 out of 5 stars,5 stars,4 out of 5 stars,5 stars,Not enough data to calculate stars for this category
H6169,PFFS,Universal American Corp.,Universal American Corp.,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,1 out of 5 stars,Plan too new to be measured
H6178,Local CCP,CareSource,CareSource,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,3 out of 5 stars,3 out of 5 stars,Not enough data to calculate stars for this category
H6181,Local CCP,AMERIGROUP Corporation,Amerigroup Community Care,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,3 out of 5 stars,4 out of 5 stars
H6264,Local CCP,Lutheran Medical Center,Health Plus Elite,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,2 out of 5 stars,Not enough data to calculate stars for this category
H6328,Local CCP,North Texas Specialty Physicians,Care N' Care Health Plan,4 out of 5 stars,3 out of 5 stars,5 stars,4 out of 5 stars,Not enough data to calculate stars for this category
H6360,1876 Cost,"Kaiser Foundation Health Plan, Inc.",Kaiser Permanente Medicare Plus,4 out of 5 stars,5 stars,4 out of 5 stars,4 out of 5 stars,5 stars
H6411,Local CCP,Humana Inc.,Humana Insurance Company,3 out of 5 stars,2 out of 5 stars,2 out of 5 stars,3 out of 5 stars,Not enough data to calculate stars for this category
H6528,Local CCP,XLHealth Corporation,Care Improvement Plus,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,3 out of 5 stars,Not enough data to calculate stars for this category
H6609,Local CCP,Humana Inc.,Humana Insurance Company,3 out of 5 stars,3 out of 5 stars,3 out of 5 stars,4 out of 5 stars,4 out of 5 stars
H6622,Local CCP,Humana Inc.,Humana WisconsinHealth Organization Insurance Corp,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Not enough data to calculate stars for this category,Plan too new to be measured
H6642,Local CCP,"Universal Health Care Group, Inc.","Universal HMO of Texas, Inc.",Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,3 out of 5 stars,Not enough data to calculate stars for this category
H6705,Local CCP,"Universal Health Care Group, Inc.","Universal Health Care of Nevada, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Not enough data to calculate stars for this category,Plan too new to be measured
H6743,Local CCP,ATRIO Health Plans,ATRIO Health Plans,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Not enough data to calculate stars for this category,Plan too new to be measured
H6801,Local CCP,Ardent Health Services.,Lovelace Medicare Plan,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H6815,Local CCP,"Health Net, Inc.",Health Net Medicare Advantage,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Not enough data to calculate stars for this category,Plan too new to be measured
H6864,Local CCP,Jewish Guild for the Blind,GuildNet,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category
H6881,Local CCP,"America?s 1st Choice Insurance Company of NC, Inc.",America's 1st Choice Insurance Company of NC,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Not enough data to calculate stars for this category,Plan too new to be measured
H6900,Local CCP,Humana Inc.,Humana Insurance Company,3 out of 5 stars,2 out of 5 stars,3 out of 5 stars,2 out of 5 stars,4 out of 5 stars
H6923,Local CCP,Aetna Inc.,Aetna Medicare,3 out of 5 stars,4 out of 5 stars,3 out of 5 stars,2 out of 5 stars,Not enough data to calculate stars for this category
H6952,Local CCP,"UnitedHealth Group, Inc.",UnitedHealthcare Community Plan,3 out of 5 stars,3 out of 5 stars,Not enough data to calculate stars for this category,2 out of 5 stars,Not enough data to calculate stars for this category
H7002,Local CCP,Humana Inc.,Humana Insurance Company,3 out of 5 stars,2 out of 5 stars,4 out of 5 stars,2 out of 5 stars,Not enough data to calculate stars for this category
H7006,Local CCP,"Marion Polk Community Health Plan, LLC","Marion Polk Community Health Plan Advantage, Inc.",Not enough data to calculate stars for this category,3 out of 5 stars,5 stars,5 stars,Not enough data to calculate stars for this category
H7015,Local CCP,"HF Management Services, LLC",Healthfirst NJ Medicare Plan,3 out of 5 stars,3 out of 5 stars,2 out of 5 stars,2 out of 5 stars,Not enough data to calculate stars for this category
H7086,Local CCP,Community Health Group,Community Health Group,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,2 out of 5 stars,2 out of 5 stars,Not enough data to calculate stars for this category
H7149,Local CCP,Coventry Health Care Inc.,Coventry Health Care,3 out of 5 stars,3 out of 5 stars,4 out of 5 stars,3 out of 5 stars,4 out of 5 stars
H7173,Local CCP,Centene Corporation,Advantage by Peach State,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Not enough data to calculate stars for this category,Plan too new to be measured
H7179,Local CCP,Arcadian Management Services Inc.,Arcadian Community Care,2 out of 5 stars,2 out of 5 stars,3 out of 5 stars,2 out of 5 stars,Not enough data to calculate stars for this category
H7187,Local CCP,"UnitedHealth Group, Inc.",UnitedHealthcare,3 out of 5 stars,3 out of 5 stars,3 out of 5 stars,3 out of 5 stars,Not enough data to calculate stars for this category
H7188,Local CCP,Humana Inc.,Humana Insurance Company,2 out of 5 stars,2 out of 5 stars,4 out of 5 stars,2 out of 5 stars,4 out of 5 stars
H7200,Local CCP,AMERIGROUP Corporation,Amerigroup Community Care,2 out of 5 stars,3 out of 5 stars,3 out of 5 stars,3 out of 5 stars,Not enough data to calculate stars for this category
H7220,Local CCP,Indiana University Health,Indiana University Health Plans - Medicare,4 out of 5 stars,4 out of 5 stars,5 stars,4 out of 5 stars,Not enough data to calculate stars for this category
H7281,Local CCP,"HealthSpring, Inc.",Bravo Health,Not enough data to calculate stars for this category,3 out of 5 stars,2 out of 5 stars,2 out of 5 stars,Not enough data to calculate stars for this category
H7292,Local CCP,Alameda Alliance for Health,Alameda Alliance for Health,2 out of 5 stars,2 out of 5 stars,3 out of 5 stars,4 out of 5 stars,Not enough data to calculate stars for this category
H7301,Local CCP,Coventry Health Care Inc.,PersonalCare,3 out of 5 stars,4 out of 5 stars,4 out of 5 stars,3 out of 5 stars,Not enough data to calculate stars for this category
H7306,Local CCP,Coventry Health Care Inc.,Coventry Health Care,2 out of 5 stars,2 out of 5 stars,2 out of 5 stars,2 out of 5 stars,Not enough data to calculate stars for this category
H7352,Local CCP,"UA Healthcare, Inc.",University Care Advantage,3 out of 5 stars,3 out of 5 stars,3 out of 5 stars,3 out of 5 stars,Not enough data to calculate stars for this category
H7475,Local CCP,"Care Wisconsin First, Inc.","Care Wisconsin Health Plan, Inc.",Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category
H7526,Local CCP,Medica Holding Company,Medica Health Plans,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,5 stars,Not enough data to calculate stars for this category
H7678,Local CCP,"Molina Healthcare, Inc.,","Molina Healthcare of Texas, Inc.",Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category
H7731,Local CCP,"MD Care, Inc.",MD Care Healthplan,3 out of 5 stars,2 out of 5 stars,2 out of 5 stars,3 out of 5 stars,2 out of 5 stars
H7787,Local CCP,"HealthSpring, Inc.",HealthSpring Medicare Advantage PPO,3 out of 5 stars,3 out of 5 stars,3 out of 5 stars,2 out of 5 stars,Not enough data to calculate stars for this category
H7908,Local CCP,Aetna Inc.,Aetna Medicare,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,1 out of 5 stars,Not enough data to calculate stars for this category
H7917,Local CCP,BlueCross BlueShield of Tennessee,BlueCross BlueShield of Tennessee,4 out of 5 stars,3 out of 5 stars,3 out of 5 stars,3 out of 5 stars,3 out of 5 stars
H7949,Local CCP,"UnitedHealth Group, Inc.",SecureHorizons by UnitedHealthcare,4 out of 5 stars,4 out of 5 stars,1 out of 5 stars,3 out of 5 stars,Not enough data to calculate stars for this category
H8050,Local CCP,"Carilion Services, Inc.",Carilion Clinic Medicare Health Plan,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category
H8091,Local CCP,USAble Mutual Insurance Company,ARKANSAS BLUE CROSS AND BLUE SHIELD,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Not enough data to calculate stars for this category,Plan too new to be measured
H8098,PFFS,"Universal Health Care Group, Inc.","Universal Health Care Insurance Company, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Not enough data to calculate stars for this category,Plan too new to be measured
H8130,Local CCP,"Molina Healthcare, Inc.,",Molina Healthcare of Florida,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category
H8145,PFFS,Humana Inc.,Humana Insurance Company,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Not enough data to calculate stars for this category,Plan too new to be measured
H8189,Local CCP,Centene Corporation,Advantage by Managed Health Services,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category
H8393,Local CCP,Coventry Health Care Inc.,Coventry Health Care,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,2 out of 5 stars,Not enough data to calculate stars for this category
H8468,MSA,Geisinger Health System,Geisinger Gold,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,4 out of 5 stars,Not enough data to calculate stars for this category
H8552,Local CCP,"WellPoint, Inc.",Anthem Blue Cross,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H8558,Local CCP,Munich American Holding Corporation,Sterling Life Insurance Company,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category
H8578,Local CCP,"Baystate Health, Inc.","Health New England, Inc.",5 stars,5 stars,5 stars,4 out of 5 stars,Not enough data to calculate stars for this category
H8604,Local CCP,Health Plan of the Upper Ohio Valley,Health Plan SecureChoice,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category
H8644,Local CCP,Humana Inc.,Humana Insurance Company,2 out of 5 stars,2 out of 5 stars,3 out of 5 stars,3 out of 5 stars,4 out of 5 stars
H8649,Local CCP,Coventry Health Care Inc.,Altius Health Plans,3 out of 5 stars,3 out of 5 stars,3 out of 5 stars,3 out of 5 stars,3 out of 5 stars
H8684,Local CCP,Aetna Inc.,Aetna Medicare,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,3 out of 5 stars,Not enough data to calculate stars for this category
H8707,Local CCP,Humana Inc.,Humana Insurance Company,3 out of 5 stars,2 out of 5 stars,4 out of 5 stars,3 out of 5 stars,Not enough data to calculate stars for this category
H8748,Local CCP,"UnitedHealth Group, Inc.",UnitedHealthcare,3 out of 5 stars,3 out of 5 stars,4 out of 5 stars,2 out of 5 stars,Not enough data to calculate stars for this category
H8822,Local CCP,Advantage Health Solutions,"ADVANTAGE Health Solutions, Inc.",Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,3 out of 5 stars,Not enough data to calculate stars for this category
H8953,Local CCP,Humana Inc.,"Humana Health Plan of Ohio, Inc.",4 out of 5 stars,4 out of 5 stars,3 out of 5 stars,3 out of 5 stars,Not enough data to calculate stars for this category
H8980,Local CCP,Coventry Health Care Inc.,HealthAmerica,3 out of 5 stars,3 out of 5 stars,3 out of 5 stars,3 out of 5 stars,Not enough data to calculate stars for this category
H8991,Local CCP,AMERIGROUP Corporation,Amerigroup Community Care,3 out of 5 stars,3 out of 5 stars,2 out of 5 stars,2 out of 5 stars,3 out of 5 stars
H9001,Local CCP,Fallon Community Health Plan,Fallon Community Health Plan,4 out of 5 stars,4 out of 5 stars,5 stars,4 out of 5 stars,4 out of 5 stars
H9003,Local CCP,"Kaiser Foundation Health Plan, Inc.",Kaiser Permanente Senior Advantage,4 out of 5 stars,4 out of 5 stars,4 out of 5 stars,5 stars,5 stars
H9011,Local CCP,"UnitedHealth Group, Inc.",UnitedHealthcare,3 out of 5 stars,3 out of 5 stars,2 out of 5 stars,1 out of 5 stars,4 out of 5 stars
H9047,Local CCP,Providence Health & Services,Providence Health Plans,4 out of 5 stars,4 out of 5 stars,5 stars,4 out of 5 stars,3 out of 5 stars
H9082,Local CCP,"Molina Healthcare, Inc.,","Molina Healthcare of New Mexico, Inc.",Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category
H9104,Local CCP,SCAN Health Plan,SCAN Health Plan,4 out of 5 stars,4 out of 5 stars,3 out of 5 stars,4 out of 5 stars,4 out of 5 stars
H9184,Local CCP,"HealthSpring, Inc.",Bravo Health,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category
H9285,Local CCP,"Atlantis Health Systems, Inc.",EASY CHOICE HEALTH PLAN OF NEW YORK,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H9302,Local CCP,"Puget Sound Health Partners, Inc.",Soundpath Health,4 out of 5 stars,3 out of 5 stars,4 out of 5 stars,2 out of 5 stars,4 out of 5 stars
H9385,Local CCP,SCAN Health Plan,SCAN Health Plan Arizona,3 out of 5 stars,4 out of 5 stars,2 out of 5 stars,4 out of 5 stars,4 out of 5 stars
H9503,Local CCP,Humana Inc.,Humana Insurance Company,3 out of 5 stars,3 out of 5 stars,2 out of 5 stars,3 out of 5 stars,4 out of 5 stars
H9572,Local CCP,Blue Cross Blue Shield of Michigan,Blue Cross Blue Shield of Michigan,Not enough data to calculate stars for this category,3 out of 5 stars,3 out of 5 stars,4 out of 5 stars,3 out of 5 stars
H9615,Local CCP,"MVP Health Care, Inc.",MVP HEALTH CARE,4 out of 5 stars,4 out of 5 stars,5 stars,4 out of 5 stars,Not enough data to calculate stars for this category
H9670,Local CCP,University of Pittsburgh Medical Center,UPMC Health Plan,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,5 stars,Not enough data to calculate stars for this category
H9720,PFFS,"America's 1st Choice Health Plans, Inc.","AMERICA'S 1ST CHOICE HEALTH PLANS, INC.",2 out of 5 stars,3 out of 5 stars,Not enough data to calculate stars for this category,4 out of 5 stars,Not enough data to calculate stars for this category
H9788,MSA,HealthNow New York Inc.,ActiveSaver MSA or BlueSaver MSA,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Not enough data to calculate stars for this category,Plan too new to be measured
H9847,Local CCP,Coventry Health Care Inc.,Coventry Health Care,3 out of 5 stars,3 out of 5 stars,4 out of 5 stars,2 out of 5 stars,Not enough data to calculate stars for this category
H9859,Local CCP,"MVP Health Care, Inc.",MVP HEALTH CARE,4 out of 5 stars,4 out of 5 stars,5 stars,5 stars,4 out of 5 stars
H9947,Local CCP,"WellPoint, Inc.",Blue Cross Blue Shield of Georgia,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H9988,Local CCP,Munich American Holding Corporation,Sterling Life Insurance Company,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category
R3175,Regional CCP,"UnitedHealth Group, Inc.",UnitedHealthcare,3 out of 5 stars,3 out of 5 stars,2 out of 5 stars,3 out of 5 stars,Not enough data to calculate stars for this category
R3332,Regional CCP,Blue Cross and Blue Shield of Florida,"Blue Cross and Blue Shield of Florida, Inc.",3 out of 5 stars,3 out of 5 stars,2 out of 5 stars,2 out of 5 stars,4 out of 5 stars
R3444,Regional CCP,XLHealth Corporation,Care Improvement Plus,3 out of 5 stars,3 out of 5 stars,4 out of 5 stars,3 out of 5 stars,4 out of 5 stars
R5287,Regional CCP,"UnitedHealth Group, Inc.",UnitedHealthcare,3 out of 5 stars,3 out of 5 stars,3 out of 5 stars,2 out of 5 stars,4 out of 5 stars
R5342,Regional CCP,"UnitedHealth Group, Inc.",UnitedHealthcare,3 out of 5 stars,3 out of 5 stars,2 out of 5 stars,2 out of 5 stars,3 out of 5 stars
R5566,Regional CCP,"BCBS MN, MT, NE, ND, WY, Wellmark IA and SD",MedicareBlue PPO,3 out of 5 stars,3 out of 5 stars,4 out of 5 stars,4 out of 5 stars,4 out of 5 stars
R5674,Regional CCP,"UnitedHealth Group, Inc.","Sierra Health and Life Insurance Company, Inc.",3 out of 5 stars,2 out of 5 stars,2 out of 5 stars,3 out of 5 stars,3 out of 5 stars
R5826,Regional CCP,Humana Inc.,Humana Insurance Company,3 out of 5 stars,3 out of 5 stars,3 out of 5 stars,3 out of 5 stars,4 out of 5 stars
R5941,Regional CCP,"WellPoint, Inc.",Anthem Blue Cross and Blue Shield,3 out of 5 stars,4 out of 5 stars,4 out of 5 stars,3 out of 5 stars,3 out of 5 stars
R6801,Regional CCP,XLHealth Corporation,Care Improvement Plus,3 out of 5 stars,2 out of 5 stars,4 out of 5 stars,3 out of 5 stars,4 out of 5 stars
R7439,Regional CCP,Hawaii Medical Service Association,Akamai Advantage by HMSA,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Not enough data to calculate stars for this category,Plan too new to be measured
R7444,Regional CCP,"UnitedHealth Group, Inc.",UnitedHealthcare,3 out of 5 stars,3 out of 5 stars,3 out of 5 stars,3 out of 5 stars,4 out of 5 stars
R9896,Regional CCP,XLHealth Corporation,Care Improvement Plus,3 out of 5 stars,3 out of 5 stars,4 out of 5 stars,3 out of 5 stars,4 out of 5 stars
