2010 Domain Star View: Medicare Part C Report Card Master Table,,,,,,,,
Contract Number,Organization Type,Parent Organization,Organization Marketing Name,"Staying Healthy: Screenings, Tests and Vaccines",Managing Chronic (Long Term) Conditions,Ratings of Health Plan Responsiveness and Care,"Health Plan Members’ Complaints, Appeals, and Choosing to Leave",Health Plan’s Telephone Customer Service
H5262,Local CCP,"Gunderson Lutheran, Inc.","Gundersen Lutheran Health Plan, Inc.",4 out of 5 stars,3 out of 5 stars,5 stars,4 out of 5 stars,4 out of 5 stars
H5264,1876 Cost,Dean Health Systems Inc.,"Dean Health Plan, Inc.",4 out of 5 stars,3 out of 5 stars,4 out of 5 stars,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category
H5291,Local CCP,Humana Inc.,"Humana Health Plan, Inc.",Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,2 out of 5 stars,3 out of 5 stars
H5294,Local CCP,Centene Corporation,Advantage by SuperiorHealthPlan,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,4 out of 5 stars
H5301,Demo,Universal American Corp.,Universal American,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category
H5302,Local CCP,Coventry Health Care Inc.,Advantra,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,3 out of 5 stars,3 out of 5 stars,3 out of 5 stars
H5304,PFFS,"Wellpoint, Inc.",Empire BlueCross BlueShield,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,3 out of 5 stars,4 out of 5 stars,Not enough data to calculate stars for this category
H5324,National PACE,HALE MAKUA,Maui PACE,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category
H5378,Local CCP,Universal American Corp.,Universal American,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H5402,Local CCP,"Quality Health Plans, Inc.",Quality Health Plans,4 out of 5 stars,2 out of 5 stars,2 out of 5 stars,2 out of 5 stars,3 out of 5 stars
H5403,National PACE,On Lok Senior Health Services,On Lok Lifeways,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category
H5404,Local CCP,Universal Health Care Inc.,"Universal Health Care, Inc.",3 out of 5 stars,2 out of 5 stars,3 out of 5 stars,3 out of 5 stars,4 out of 5 stars
H5405,National PACE,Center For Elders Independence,Center For Elders Independence,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category
H5406,National PACE,Sutter Health Sacramento Sierra Region,Sutter SeniorCare,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category
H5407,Local CCP,"Citrus Health Care, Inc.","Citrus Health Care, Inc.",3 out of 5 stars,2 out of 5 stars,2 out of 5 stars,2 out of 5 stars,4 out of 5 stars
H5410,Local CCP,"HealthSpring, Inc.","HealthSpring of Florida, Inc.",4 out of 5 stars,3 out of 5 stars,5 stars,4 out of 5 stars,4 out of 5 stars
H5414,Local CCP,Aetna Inc.,Aetna Medicare,4 out of 5 stars,Not enough data to calculate stars for this category,2 out of 5 stars,2 out of 5 stars,3 out of 5 stars
H5415,Local CCP,Humana Inc.,"Humana Health Insurance Company of FL, Inc.",3 out of 5 stars,2 out of 5 stars,2 out of 5 stars,3 out of 5 stars,2 out of 5 stars
H5416,Local CCP,Arcadian Management Services Inc.,Spokane Community Care,3 out of 5 stars,2 out of 5 stars,3 out of 5 stars,4 out of 5 stars,4 out of 5 stars
H5417,Local CCP,"UnitedHealth Group, Inc.",Evercare« by UnitedHealthcare,4 out of 5 stars,2 out of 5 stars,2 out of 5 stars,3 out of 5 stars,3 out of 5 stars
H5419,PFFS,"Wellpoint, Inc.",Anthem Blue Cross,2 out of 5 stars,2 out of 5 stars,3 out of 5 stars,3 out of 5 stars,Not enough data to calculate stars for this category
H5420,Local CCP,"Medica HealthCare Plans, Inc.","Medica HealthCare Plans, Inc.",3 out of 5 stars,2 out of 5 stars,4 out of 5 stars,3 out of 5 stars,4 out of 5 stars
H5421,PFFS,Universal American Corp.,Universal American,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,3 out of 5 stars,1 out of 5 stars,3 out of 5 stars
H5422,Local CCP,"Wellpoint, Inc.",Blue Cross Blue Shield Healthcare Plan of Georgia,3 out of 5 stars,2 out of 5 stars,2 out of 5 stars,2 out of 5 stars,Not enough data to calculate stars for this category
H5424,Local CCP,"UnitedHealth Group, Inc.",SecureHorizons by UnitedHealthcare,3 out of 5 stars,2 out of 5 stars,2 out of 5 stars,4 out of 5 stars,3 out of 5 stars
H5425,Local CCP,"SCAN Health Plan, Inc.",SCAN Health Plan,4 out of 5 stars,3 out of 5 stars,3 out of 5 stars,4 out of 5 stars,5 stars
H5426,Local CCP,Humana Inc.,"Humana AdvantageCare Plan, Inc.",3 out of 5 stars,2 out of 5 stars,2 out of 5 stars,3 out of 5 stars,2 out of 5 stars
H5427,Local CCP,"America's 1st Choice Holdings of Florida, LLC","Freedom Health, Inc.",3 out of 5 stars,2 out of 5 stars,2 out of 5 stars,3 out of 5 stars,3 out of 5 stars
H5428,Local CCP,Health Plan of San Mateo,Health Plan of San Mateo,3 out of 5 stars,3 out of 5 stars,2 out of 5 stars,3 out of 5 stars,3 out of 5 stars
H5429,Local CCP,Universal Health Care Inc.,"Universal Health Care, Inc.",3 out of 5 stars,2 out of 5 stars,1 out of 5 stars,3 out of 5 stars,4 out of 5 stars
H5430,Local CCP,Care1st Health Plan,"ONECare by Care1st Health Plan Arizona, Inc.",2 out of 5 stars,3 out of 5 stars,3 out of 5 stars,3 out of 5 stars,3 out of 5 stars
H5431,Local CCP,"HealthSun Health Plans, Inc","HealthSun Health Plans, Inc.",2 out of 5 stars,4 out of 5 stars,5 stars,3 out of 5 stars,3 out of 5 stars
H5433,Local CCP,CalOptima,OneCare,2 out of 5 stars,2 out of 5 stars,3 out of 5 stars,5 stars,4 out of 5 stars
H5434,Local CCP,Blue Cross and Blue Shield of Florida,"Blue Cross and Blue Shield of Florida, Inc.",3 out of 5 stars,3 out of 5 stars,2 out of 5 stars,3 out of 5 stars,3 out of 5 stars
H5435,PFFS,"UnitedHealth Group, Inc.",SecureHorizons by UnitedHealthcare,3 out of 5 stars,2 out of 5 stars,3 out of 5 stars,3 out of 5 stars,3 out of 5 stars
H5439,Local CCP,"Health Net, Inc.",Health Net Life Insurance Company,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,3 out of 5 stars,3 out of 5 stars,3 out of 5 stars
H5440,Local CCP,"UnitedHealth Group, Inc.",Evercare« by UnitedHealthcare,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,2 out of 5 stars,Not enough data to calculate stars for this category,4 out of 5 stars
H5444,Chronic Care,Davita Inc,"Rms Dm, Llc",Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category
H5445,Chronic Care,"Health Hero Network, Inc","Health Hero Network, Inc",Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category
H5470,Local CCP,Humana Inc.,Humana Insurance Company,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,3 out of 5 stars,2 out of 5 stars
H5485,PFFS,McKinley Life Insurance Company,PrimeTime Health Plan,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,4 out of 5 stars,4 out of 5 stars
H5507,Local CCP,"UnitedHealth Group, Inc.",SecureHorizons by UnitedHealthcare,4 out of 5 stars,3 out of 5 stars,3 out of 5 stars,3 out of 5 stars,3 out of 5 stars
H5508,Local CCP,Advantage Health Solutions,"Advantage Health Solutions, Inc.",4 out of 5 stars,2 out of 5 stars,4 out of 5 stars,5 stars,3 out of 5 stars
H5509,Local CCP,Coventry Health Care Inc.,Coventry Health And Life Ins. Company,4 out of 5 stars,2 out of 5 stars,3 out of 5 stars,4 out of 5 stars,2 out of 5 stars
H5516,Local CCP,"UnitedHealth Group, Inc.",SecureHorizons by UnitedHealthcare,4 out of 5 stars,2 out of 5 stars,3 out of 5 stars,4 out of 5 stars,3 out of 5 stars
H5520,Local CCP,"Health Net, Inc.",Health Net Medicare Advantage,4 out of 5 stars,3 out of 5 stars,3 out of 5 stars,3 out of 5 stars,4 out of 5 stars
H5521,Local CCP,Aetna Inc.,Aetna Medicare,4 out of 5 stars,3 out of 5 stars,3 out of 5 stars,4 out of 5 stars,3 out of 5 stars
H5522,Local CCP,Coventry Health Care Inc.,HealthAmerica Advantra,3 out of 5 stars,Not enough data to calculate stars for this category,4 out of 5 stars,4 out of 5 stars,3 out of 5 stars
H5525,Local CCP,Humana Inc.,"Humana Benefit Plan of Illinois, Inc.",4 out of 5 stars,2 out of 5 stars,3 out of 5 stars,4 out of 5 stars,3 out of 5 stars
H5526,Local CCP,HealthNow New York Inc.,Forever Blue Medicare PPO,4 out of 5 stars,3 out of 5 stars,3 out of 5 stars,4 out of 5 stars,4 out of 5 stars
H5528,Local CCP,EmblemHealth Inc.,GHI Medicare PPO,3 out of 5 stars,3 out of 5 stars,3 out of 5 stars,3 out of 5 stars,4 out of 5 stars
H5529,Local CCP,"Wellpoint, Inc.",Anthem Blue Cross and Blue Shield,3 out of 5 stars,3 out of 5 stars,3 out of 5 stars,3 out of 5 stars,Not enough data to calculate stars for this category
H5530,Local CCP,"Wellpoint, Inc.",Anthem Blue Cross and Blue Shield,3 out of 5 stars,Not enough data to calculate stars for this category,3 out of 5 stars,3 out of 5 stars,Not enough data to calculate stars for this category
H5532,Local CCP,"UnitedHealth Group, Inc.",SecureHorizons by UnitedHealthcare,4 out of 5 stars,3 out of 5 stars,3 out of 5 stars,4 out of 5 stars,3 out of 5 stars
H5533,Local CCP,University of Pittsburgh Medical Center,UPMC Health Plan,4 out of 5 stars,3 out of 5 stars,4 out of 5 stars,4 out of 5 stars,5 stars
H5549,Local CCP,Visiting Nurse Service of New York,VNS CHOICE Medicare,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,2 out of 5 stars,3 out of 5 stars,4 out of 5 stars
H5554,Local CCP,SANTA CLARA COUNTY HEALTH AUTHORITY,Santa Clara Family Health Plan,2 out of 5 stars,Not enough data to calculate stars for this category,2 out of 5 stars,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category
H5575,Local CCP,Fidelis SecureCare,Fidelis SecureCare of North Carolina,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,4 out of 5 stars
H5576,Local CCP,"Vantage Health Plan, Inc.","Vantage Health Plan, Inc.",3 out of 5 stars,2 out of 5 stars,4 out of 5 stars,4 out of 5 stars,5 stars
H5577,Local CCP,"Medical Card System, Inc.",MCS Classicare,3 out of 5 stars,1 out of 5 stars,4 out of 5 stars,4 out of 5 stars,2 out of 5 stars
H5578,Local CCP,Arcadian Management Services Inc.,Southeast Community Care,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,2 out of 5 stars,3 out of 5 stars,4 out of 5 stars
H5580,Local CCP,Southwest Catholic Health Network,Mercy Care Advantage,3 out of 5 stars,2 out of 5 stars,3 out of 5 stars,3 out of 5 stars,5 stars
H5587,Local CCP,IASIS Healthcare,Health Choice Generations,2 out of 5 stars,2 out of 5 stars,2 out of 5 stars,4 out of 5 stars,2 out of 5 stars
H5590,Local CCP,Centene Corporation,Advantage by Bridgeway Health Solutions,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,4 out of 5 stars
H5591,Local CCP,"Martin's Point Health Care, Inc.",Martin's Point Generations Advantage,5 stars,Not enough data to calculate stars for this category,5 stars,5 stars,5 stars
H5594,Local CCP,"Optimum HealthCare, Inc.","Optimum HealthCare, Inc.",3 out of 5 stars,3 out of 5 stars,1 out of 5 stars,2 out of 5 stars,3 out of 5 stars
H5606,Demo,Munich American Holding Corporation,"Fresenius Medical Health Plan, Inc. - Pennsylvania",Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category
H5608,Local CCP,Denver Healthcare Hospital Authority,Denver Health Medical Plan,3 out of 5 stars,4 out of 5 stars,2 out of 5 stars,5 stars,3 out of 5 stars
H5609,Local CCP,Golden Empire Managed Care,GEMCARE Health Plan,3 out of 5 stars,2 out of 5 stars,4 out of 5 stars,5 stars,5 stars
H5610,National PACE,"CARE RESOURCES, INC.",Care Resources,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category
H5619,Local CCP,Arcadian Management Services Inc.,Northeast Community Care,3 out of 5 stars,Not enough data to calculate stars for this category,4 out of 5 stars,4 out of 5 stars,4 out of 5 stars
H5628,Local CCP,"Molina Healthcare, Inc.,",Molina Healthcare of Utah,3 out of 5 stars,3 out of 5 stars,3 out of 5 stars,3 out of 5 stars,4 out of 5 stars
H5629,National PACE,Community Eldercare of San Diego,St. Paul's PACE,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category
H5640,Local CCP,INLAND EMPIRE HEALTH PLAN,IEHP Medicare DualChoice,2 out of 5 stars,2 out of 5 stars,3 out of 5 stars,Not enough data to calculate stars for this category,4 out of 5 stars
H5649,Local CCP,Central Health Plan of California,Central Health Medicare Plan,2 out of 5 stars,2 out of 5 stars,2 out of 5 stars,4 out of 5 stars,5 stars
H5652,Demo,"UnitedHealth Group, Inc.",Erickson Advantage,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,4 out of 5 stars,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category
H5656,Local CCP,Universal American Corp.,Universal American,3 out of 5 stars,Not enough data to calculate stars for this category,2 out of 5 stars,2 out of 5 stars,2 out of 5 stars
H5657,PFFS,Humana Inc.,Humana Insurance Company of New York,3 out of 5 stars,2 out of 5 stars,3 out of 5 stars,3 out of 5 stars,2 out of 5 stars
H5665,Local CCP,XLHealth Corporation,Care Improvement Plus,3 out of 5 stars,2 out of 5 stars,2 out of 5 stars,1 out of 5 stars,3 out of 5 stars
H5678,Demo,"UnitedHealth Group, Inc.",Erickson Advantage,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category
H5679,Local CCP,"Wellpoint, Inc.",Anthem Blue Cross and Blue Shield,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,2 out of 5 stars,Not enough data to calculate stars for this category
H5685,Local CCP,"Midwest Health Plan, Inc.",Midwest Advantage,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,2 out of 5 stars
H5696,Local CCP,"Physician's United Plan, Inc.",PUP,3 out of 5 stars,3 out of 5 stars,3 out of 5 stars,4 out of 5 stars,3 out of 5 stars
H5697,Demo,"UnitedHealth Group, Inc.",Erickson Advantage,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,4 out of 5 stars,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category
H5698,Local CCP,Windsor Health Group,Windsor Medicare Extra,2 out of 5 stars,2 out of 5 stars,3 out of 5 stars,3 out of 5 stars,2 out of 5 stars
H5700,Local CCP,Arcadian Management Services Inc.,"Arkansas Community Care, Inc.",2 out of 5 stars,2 out of 5 stars,2 out of 5 stars,4 out of 5 stars,3 out of 5 stars
H5703,Local CCP,South Country Health Alliance,South Country Health Alliance,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,3 out of 5 stars,Not enough data to calculate stars for this category,3 out of 5 stars
H5732,Local CCP,Triple-S Management Corporation,"Triple-S Salud, INC.",3 out of 5 stars,3 out of 5 stars,4 out of 5 stars,4 out of 5 stars,2 out of 5 stars
H5736,PFFS,Aetna Inc.,Aetna Medicare,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,4 out of 5 stars,4 out of 5 stars,2 out of 5 stars
H5746,Local CCP,AMERIGROUP Corporation,AMERIGROUP Community Care of New Mexico,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,4 out of 5 stars
H5749,Local CCP,"UnitedHealth Group, Inc.",SecureHorizons by UnitedHealthcare,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,3 out of 5 stars
H5750,Local CCP,Metropolitan Health Plan,North Star Advantage / North Star Advantage Plus,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,4 out of 5 stars
H5754,Demo,"UnitedHealth Group, Inc.",Erickson Advantage,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category
H5774,Local CCP,American Health Plan,American Health Medicare,2 out of 5 stars,2 out of 5 stars,3 out of 5 stars,4 out of 5 stars,3 out of 5 stars
H5782,Local CCP,PARTNERSHIP HEALTHPLAN OF CALIFORNIA,Partnership HealthPlan of California,3 out of 5 stars,3 out of 5 stars,3 out of 5 stars,Not enough data to calculate stars for this category,3 out of 5 stars
H5783,Local CCP,Arcadian Management Services Inc.,Southeast Community Care,2 out of 5 stars,3 out of 5 stars,3 out of 5 stars,3 out of 5 stars,4 out of 5 stars
H5793,Local CCP,Aetna Inc.,Aetna Medicare,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,2 out of 5 stars,3 out of 5 stars
H5810,Local CCP,"Molina Healthcare, Inc.,",Molina Healthcare of California,2 out of 5 stars,Not enough data to calculate stars for this category,2 out of 5 stars,3 out of 5 stars,4 out of 5 stars
H5811,Local CCP,Medcore HP,Medcore HP,3 out of 5 stars,3 out of 5 stars,3 out of 5 stars,4 out of 5 stars,4 out of 5 stars
H5812,PFFS,Geisinger Health System,Geisinger Gold,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,4 out of 5 stars,3 out of 5 stars,4 out of 5 stars
H5813,Local CCP,Aetna Inc.,Aetna Medicare,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,3 out of 5 stars,3 out of 5 stars
H5817,Local CCP,AMERIGROUP Corporation,AMERIGROUP Community Care,2 out of 5 stars,3 out of 5 stars,2 out of 5 stars,3 out of 5 stars,4 out of 5 stars
H5820,PFFS,Universal Health Care Inc.,"UNIVERSAL HEALTH CARE INSURANCE COMPANY, INC.",Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,3 out of 5 stars,3 out of 5 stars,3 out of 5 stars
H5821,Local CCP,MAPFRE PRAICO CORPORATION,MAPFRE LIFE INSURANCE COMPANY,3 out of 5 stars,2 out of 5 stars,4 out of 5 stars,4 out of 5 stars,3 out of 5 stars
H5822,National PACE,"MIDLAND HOSPICE, INC.",Midland PACE,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category
H5823,Local CCP,"Molina Healthcare, Inc.,","Molina Healthcare of Washington, Inc.",Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,2 out of 5 stars,4 out of 5 stars,3 out of 5 stars
H5826,Local CCP,Community Health Plan of Washington,Community HealthFirst Medicare Advantage Plan,3 out of 5 stars,2 out of 5 stars,2 out of 5 stars,4 out of 5 stars,4 out of 5 stars
H5832,Local CCP,Aetna Inc.,Aetna Medicare,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,1 out of 5 stars,2 out of 5 stars
H5839,PFFS,Munich American Holding Corporation,Sterling Life Insurance Company,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,2 out of 5 stars
H5850,Local CCP,Coventry Health Care Inc.,"Summit Health Plan, Inc.",3 out of 5 stars,2 out of 5 stars,3 out of 5 stars,3 out of 5 stars,2 out of 5 stars
H5852,Local CCP,AIDS Healthcare Foundation,POSITIVE HEALTHCARE PARTNERS,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,4 out of 5 stars,Not enough data to calculate stars for this category,4 out of 5 stars
H5854,Local CCP,"Wellpoint, Inc.",Anthem Blue Cross and Blue Shield,4 out of 5 stars,3 out of 5 stars,3 out of 5 stars,3 out of 5 stars,Not enough data to calculate stars for this category
H5859,Local CCP,"CareOregon, Inc.",CareOregon Advantage,3 out of 5 stars,3 out of 5 stars,3 out of 5 stars,4 out of 5 stars,3 out of 5 stars
H5862,PFFS,"Blue Cross of Idaho Health Services, Inc.",Blue Cross of Idaho,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,3 out of 5 stars,4 out of 5 stars,5 stars
H5868,Local CCP,Humana Inc.,Humana Insurance Company,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,2 out of 5 stars,4 out of 5 stars,2 out of 5 stars
H5883,Local CCP,Blue Cross Blue Shield of Michigan,Blue Care Network,4 out of 5 stars,3 out of 5 stars,4 out of 5 stars,4 out of 5 stars,4 out of 5 stars
H5884,PFFS,BlueCross BlueShield of Tennessee,BlueCross BlueShield of Tennessee,4 out of 5 stars,2 out of 5 stars,5 stars,3 out of 5 stars,4 out of 5 stars
H5887,Local CCP,First Medical Health Plan,"First Medical Health Plan, Inc.",2 out of 5 stars,Not enough data to calculate stars for this category,4 out of 5 stars,4 out of 5 stars,3 out of 5 stars
H5895,Local CCP,Contra Costa Health Services,Contra Costa Health Plan,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,3 out of 5 stars
H5896,Local CCP,AMERIGROUP Corporation,AMERIGROUP Community Care,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,2 out of 5 stars,4 out of 5 stars
H5909,Demo,Universal American Corp.,Universal American,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category
H5918,Demo,"UnitedHealth Group, Inc.",Erickson Advantage,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category
H5926,Local CCP,"Molina Healthcare, Inc.,",Molina Healthcare of Michigan,2 out of 5 stars,Not enough data to calculate stars for this category,2 out of 5 stars,4 out of 5 stars,4 out of 5 stars
H5928,Local CCP,Care1st Health Plan,Care1st Medicare Advantage Plan,2 out of 5 stars,3 out of 5 stars,2 out of 5 stars,4 out of 5 stars,4 out of 5 stars
H5932,Local CCP,Gateway Health Plan,Gateway Health Plan Medicare Assured,2 out of 5 stars,3 out of 5 stars,3 out of 5 stars,4 out of 5 stars,4 out of 5 stars
H5934,National PACE,"HOPE OF SOUTHWEST FLORIDA, INC.",Hope Select Care,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category
H5938,Local CCP,Blue Cross and Blue Shield of Florida,Capital Health Plan,5 stars,4 out of 5 stars,4 out of 5 stars,5 stars,5 stars
H5943,Demo,"SCAN Health Plan, Inc.",VillageHealth,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category
H5948,Local CCP,"ARTA MEDICARE HEALTH PLAN, INC.",Arta Medicare Health Plan,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,5 stars
H5950,Local CCP,Aetna Inc.,Aetna Medicare,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,1 out of 5 stars,2 out of 5 stars
H5962,Demo,Munich American Holding Corporation,"Fresenius Medical Care Health Plan, Inc. - Texas",Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category
H5969,Local CCP,AlohaCare,AlohaCare,3 out of 5 stars,2 out of 5 stars,2 out of 5 stars,3 out of 5 stars,5 stars
H5970,Local CCP,Humana Inc.,Humana Insurance Company of New York,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H5978,National PACE,PHI LIFE,PHI LIFE dba everyday LIFE,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H5980,Local CCP,Fidelis SecureCare,"Fidelis SecureCare of Texas, Inc.",Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,3 out of 5 stars
H5985,Local CCP,Vanguard Health Systems,Abrazo Advantage Health Plan,2 out of 5 stars,2 out of 5 stars,2 out of 5 stars,3 out of 5 stars,4 out of 5 stars
H5989,Local CCP,Bethco Corporation,Comprehensive Care Management Corp.,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,5 stars
H5991,Local CCP,Affinity Health Plan,Affinity Health Plan,4 out of 5 stars,Not enough data to calculate stars for this category,2 out of 5 stars,Not enough data to calculate stars for this category,4 out of 5 stars
H5992,Local CCP,"Senior Whole Health, LLC",Senior Whole Health of New York,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,4 out of 5 stars
H5995,Local CCP,Marion Polk Community Health Plan LLC,"Marion Polk Community Health Plan Advantage, Inc.",3 out of 5 stars,3 out of 5 stars,2 out of 5 stars,4 out of 5 stars,3 out of 5 stars
H5998,Local CCP,"UnitedHealth Group, Inc.",Unison Advantage,2 out of 5 stars,3 out of 5 stars,2 out of 5 stars,2 out of 5 stars,3 out of 5 stars
H6050,1876 Cost,"Kaiser Foundation Health Plan, Inc.",Kaiser Permanente Medicare Cost,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,3 out of 5 stars,4 out of 5 stars,Not enough data to calculate stars for this category
H6052,1876 Cost,"Kaiser Foundation Health Plan, Inc.",Kaiser Permanente Medicare Cost,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,4 out of 5 stars,4 out of 5 stars,Not enough data to calculate stars for this category
H6053,HCPP - 1833 Cost,Sante Fe Employees Hospital Assn.,Santa Fe Employes Hospital Assn. - Coast Lines,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category
H6120,Local CCP,"PSO Health Services, LLC",PHYSICIANS HEALTH CHOICE,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H6140,HCPP - 1833 Cost,Wabash Memorial Hospital Association,Wabash Mem. Hospital,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category
